Taux_Inflation_%,Coût_LiKart_5ans_20y,Coût_LiKart_10ans_20y,Coût_LiKart_15ans_20y,Économie_vs_Plomb_5ans,Économie_vs_Plomb_10ans,Économie_vs_Plomb_15ans
1.0,26789,23434,22107,22911,25266,26593
1.5,27123,23434,22107,22577,25266,26593
2.0,27461,23434,22107,22239,25266,26593
2.5,27803,23434,22107,21897,25266,26593
3.0,28149,23434,22107,21551,25266,26593
3.5,28499,23434,22107,21201,25266,26593
4.0,28853,23434,22107,20847,25266,26593
4.5,29211,23434,22107,20489,25266,26593
5.0,29574,23434,22107,20126,25266,26593
